name,cleaned_text,kmeans_cluster,gmm_cluster,agglomerative_cluster,spectral_cluster,merged_cluster,cluster_summary
Stretching Mobility: STRETCHIT,flexibility training amp conditioning get your front middle and standing splits improve your backbends accelerate your flexibility progress break through a flexibility plateau finally make stretching a habit join a flexibility challenge to reach your goals faster mobility training improve athletic performance increase strength at the end range of your motion reach your full movement potential eliminate muscle stiffness fix muscular imbalances improve your overall agility decrease risk of injury feel good stretch sessions recover sooner sleep better eliminate lower back pain neck pain and hip pain increase energy levels reduce stress recharge rewind improve posture personalized training recommendations flexibility amp mobility programs join one of the curated training programs to finally make stretching a habit and reach your full movement potential competing with friends new feature all skill levels our users range from those who never stretched before to cheerleaders dancers gymnasts martial artists surfers crossfit lovers bodybuilders trick riders cyclists runners aerialists personal trainers golfers moms athletes desk sitters and yogis all agree if you want to get more flexible stretchit works 90 hours of video instruction new classes are released weekly the classes are 5 45 min long us 19 99 month us 99 99 6 months us 159 99 year contact us instagram stretchitapp facebook stretchit youtube stretchitapp hashtag stretchitapp we d be happy to see your progress and feature you.,5,5,5,5,7,"splits, stretching, flexibility, improve, training, exercises, muscle, lower, back, pain"
WODProof: WOD Recorder & Timer,wodproof your cross training powerhouse record share and level up your fitness with wodproof the ultimate cross training app proof perfect recording capture every rep and movement with our stable reliable recorder upload instantly and say goodbye to youtube challenges competition ready share your workouts with unique cheat free links get the validation you deserve for online competitions train like a champion choose from 15 training programs designed for all skill levels across cross training gymnastics weightlifting and more become a bionic athlete with wodproof download today.,16,16,16,16,8,"training, mobility, strength, fitness, workouts, workout, app, amp, programs, functional"
Diet & Training by Ann,the diet amp training by ann app is an individually tailored fit menu easy workout and balance unique place full of recordings straight from the world of nature and original relaxing music thanks to which you will take care of your inner balance and mental health why is it worth it tasty and healthy diet simple recipes with a calorie counter over 4500 different training days step by step voice instructions special fat burning workouts simple workouts for beginners and challenging workouts for the more advanced 4 goals to choose from lose weight maintain current weight increase body weight or gain muscle mass delicious menu for each day of the week individual adjustment of calories amp nutrient balance exchange of recipes or products with a convenient shopping list when you work with me and my team you decide on the direction and pace of change choose the level that is best adapted to your expectations and abilities home workout philosophy a slim healthy body is an object of desire of many people you surely know that physical activity is the key to a beautiful figure need a good workout this is where you set the rules a variety of exercises for better muscle stimulation with and without equipment tabata pilates cardio aerobic barre training women men amp couples each trimester of pregnancy amp young mothers runners people who lead an office lifestyle people over 50 simple training for fat burning strengthening and conditioning flat belly firm thighs and buttocks slender arms and legs strong back mobility diet amp training by ann works with apple health to record your calories burned after workout.,8,8,8,8,9,"workouts, goals, fitness, workout, body, training, app, recipes, home, need"
30 Day Fitness at Home,achieve your weight loss and muscle gain goals with 30 days fitness challenge see incredible results in just 30 days sweat it out now and discover a fitter you work out where you are and when you want get in shape faster by analyzing your body data and preference we will tailor a 30 day program for you to achieve goals faster and more effectively work out whenever wherever whether you re at home in the office or on the go our app is there for your fitness needs no more dull workouts our app has a wide range of workouts including aerobics hiit and strength training to keep your routine fun and exciting explore a variety of zero equipment home workouts for all fitness levels quickly find any workout that fits your need with our app no matter what confused you ask the ai trainer for instant answers turn your doubts into actionable insights and achieve your fitness goals without question amazing features easy to follow simple instructions and detailed videos will make it easy for you to perform exercises correctly and safely goal focused training 300 specific workouts that focus on problem areas to meet your goals customized workouts create workouts easily adapted to your preferences and needs fitness coach burning calories will become easier and safer with our expertly designed workout programs ai trainer ask any questions related to workouts rest and diet and get accurate fitness guidance get unlimited access to all features for usd 69 99 year nbsp.,8,8,8,8,9,"workouts, goals, fitness, workout, body, training, app, recipes, home, need"
pliability: mobility+recovery,romwod is now pliability we fuse mobility yoga prehab rehab recovery mindfulness and strength to elevate performance in life and in sport break through your mobility limits with pliability personalized flexibility programs benefits of pliability gain flexibility strength and balance with each routine reduce joint stiffness and improve your range of motion boost performance and feel confident in your workouts accelerate recovery and come back stronger than ever improve posture and reduce the risk of injuries great for everyone whether you re a seasoned athlete or just looking for a way to stay flexible and healthy pliability is the perfect tool crossfit weight lifting hiit cycling running golf swimming yoga pliability has been featured as a must have fitness app by gq forbes men s health men s journal amp is trusted by thousands of athletes worldwide new measure your mobility our mobility test leverages iphone and ipad technology to precisely measure your body s active range of motion you ll receive a detailed report with your specific mobility issues along with recommended routines to improve complete your assessment in just 3 minutes access specific workouts targeting your weaknesses re test to track your progress amp continually improve start quick and easy new to mobility onboard to pliability with our 7 day welcome series path get to know the poses the purpose and the foundation of our program all body types amp flexibility levels targeted customizable follow our programming or target specific areas of the body use powerful filters to sort our library of over 1 700 routines based on your goals the amount of time you have amp the body part you re focused on flexible to fit your schedule improvements in flexibility recovery use pliability as a supplement to your gym or functional fitness training many of our users have overcome discomfort and range of motion issues in their shoulders neck and back through our targeted stretching exercises integrates with whoop apple health calm amp mindfulness enjoy access across all your devices your pliability account enables access to our full mobility llibrary and allows you to stream videos on your iphone ipad apple tv pliability s website or to any airplay compatible device pliability anywhere no equipment required pliability works on every screen and every device it s easy to do anywhere even if you are traveling or offline you don t need any equipment for most of our routines just a place to stretch plus our videos are conveniently downloadable.,23,23,23,23,10,"pilates, body, pliability, amp, classes, access, improve, get, mobility, workouts"
Organic Fit: Pilates & Fitness,lose weight get fit or live a healthier lifestyle download and try weight loss organicfit now app features amp benefits do it anywhere outdoors at home or at the gym you don t need machines to benefit from organicfit s program only your own body weight focusing on problem zones you can concentrate on what you would like to improve first our smart algorithm will select the most effective exercises for your problem zone and create an individual program easy to follow videos no more guessing see exactly how the exercise is meant to be performed 150 special exercises thousands of people just like you have achieved positive results with our easy exercises tailored for weight loss success running and walking burn the maximum calories with interval workouts including running walking and sprint intervals milestones for weight control milestones will break achieving your target weight down into 10 mini goals stay motivated and lose weight fast integrate apple health to collect the steps history you will be amazed at what your mind and body can accomplish in a few weeks of training with organicfit note this app is developed for informational purposes only you must always consult your physician or doctor before starting any fitness program download the app and start your workout now.,15,15,15,15,11,"workout, workouts, women, weight, fat, home, loss, lose, exercise, burning"
Volt: Gym & Home Workout Plans,whatever you re training for wherever you re training volt makes it easy to get a world class workout with ai powered programs that evolve weekly and never get stale why volt works choose your training focus general fitness choose from our classic gym based programs or try one of our new at home programs designed specifically for limited or no equipment current options include bodyweight band and dumbbell dumbbells only and kettlebell sport performance build the right combo of strength power and endurance to dominate on the field court track or wherever you compete choose from 40 sports tactical readiness volt s fire rescue law enforcement and military programs prioritize physical readiness injury prevention movements and equipment flexibility training for the new army combat fitness test reach out to feedback voltathletics com to request our acft program what you get with volt new apple health integration with your permission sync your volt workout duration and calories burned with the health app equipment customization tell volt what equipment you have and your workouts will adjust accordingly well rounded workouts no muscle group is neglected with full body balanced workouts that target functional movement patterns flexibility customize your workouts with easy exercise swaps search our library of 3 000 movements each with hd video demonstrations and step by step instructions all around athlete alpine skiing baseball basketball cheer amp dance combat sports cycling diving field hockey fire rescue football golf half marathon high intensity bodyweight high intensity dumbbells high intensity kettlebell ice cross ice hockey lacrosse law enforcement lean amp mean low impact bands amp dumbbells low impact bodyweight military marathon rowing rugby rugby sevens running snowboarding soccer softball strength amp size swimming tennis track amp field triathlon ultimate volleyball water polo weight loss wrestling join over 1 million people who trust their workouts to volt.,12,12,12,12,12,"training, app, amp, lung, volt, programs, performance, workouts, airofit, breathing"
cult.fit Health Fitness & Gyms,welcome to cult fit your one stop fitness app for fun gym amp workout sessions here fitness meets fun and sports come to life we offer an extensive range of gym workouts to suit all your fitness needs from dance workouts amp yoga sessions led by our expert trainers to exercise routines designed for home fitness our app ensures your health journey is effective and enjoyable dive into a variety of fitness and sports activities such as badminton swimming tennis etc curated just for you workout from the gym or exercise at home we ve got you covered whether you prefer the convenience of home fitness or the dynamic environment of a fitness setup cult fit has you covered our app features training programs that cater to both home workout enthusiasts and those who thrive in a gym setting with a workout app that brings fitness to your fingertips you can achieve your goals with the guidance of top notch gym trainers types of workouts curated just for you boxing build strength and agility yoga enhance flexibility and find balance with hatha yoga amp evolve yoga dance fitness workout enjoy a fun dance fitness workout where you can burn calories to great music strength amp conditioning gain muscle and improve endurance with our strength training workout burn a workout format that combines high intensity lower impact training with other key elements of fitness like strength amp mobility bootcamp amp transform targeted routines for weight loss access to exclusive group classes and fun group workout formats play sports at state of the art facilities with cultpass play explore our state of the art sports facilities in major cities including bangalore delhi mumbai and more with cult play you can enjoy swimming badminton tennis table tennis squash benefit from expert coaching guaranteed playing partners and beginner friendly environments yoga workout for weight loss flexibility and strength experience the transformative power of yoga our yoga workouts are designed to aid in weight loss increase flexibility and build strength join our yoga community and embark on a journey towards better health and mindfulness transform your home into a fitness haven with cultpass home our fitness app delivers a comprehensive home fitness experience making it easier than ever to stay active and healthy whether it s a quick workout or a full routine fitness online is just a tap away 1200 at home workouts across formats including strength dance amp yoga 30 goal based fitness programs meditation sessions health podcasts and more expert weight loss coaches luxury gyms get an elite fitness experience with state of the art facilities best in class trainers and exclusive amenities including cafes and loungers ensuring maximum comfort and performance.,1,1,1,1,13,"fitness, workouts, workout, yoga, strength, home, amp, gym, app, programs"
GOWOD,test your mobility for free download gowod discover your mobility score and access for free one of the largest video libraries of mobility exercises more than 240 exercises gowod premium simple efficient personalized take it to the next level and unleash your full athletic potential with gowod premium gowod premium is the only mobility program totally adapted to you gowod s mobilization protocols are tailor made taking into account all your needs and training constraints adapted to all your needs well being training preparation and recovery adapted to your own weaknesses adapted to your training movements adapted to your available time each month retest your own mobility and track your progress access all your personal mobility data increase the quality of your movements during your workout improve your general well being and recover better from the sports effort.,16,16,16,16,8,"training, mobility, strength, fitness, workouts, workout, app, amp, programs, functional"
Kernwerk® Functional Fitness,functional fitness from germany functional training muscle building hiit circuit training bodyweight training kettlebell training the kernwerk app is your personal fitness coach calculating a new workout for you every day summary how it works we guide you 100 tailored our ai customizes every single exercise in each of your workouts wod for you through your feedback after the workout each subsequent workout is even better suited to your personal strengths and weaknesses train with or without equipment you can decide before each workout what you have available today kettlebell dumbbell sandbag trx pull up bar or barbell we have over 40 pieces of gym equipment that you can incorporate into your workout 800 functional training exercises never done marc lauren freeletics crossfit or other functional training hit or circuit training of different muscle groups is difficult for you kernwerk offers you german language video instruction for functional training you ll get tutorials from our fitness coach on basic exercises strength training and muscle building as well as tips on mobilization short amp long term results apple health you can now activate the connection to apple health in the settings of the kernwerk app this connection will transmit your workout duration to apple health this way you can close your workout ring and let apple know how busy you ve been.,16,16,16,16,8,"training, mobility, strength, fitness, workouts, workout, app, amp, programs, functional"
Tone It Up: Workout & Fitness,tone up and get results join the best fitness app and community for women enjoy access to everything you need to feel fit happy and confident the best workouts for women all programs were designed for women like you by women like you toning sculpting yoga pregnancy workouts postnatal routines meditations strength training dance kickboxing and barre 500 on demand workouts for every goal and fitness level beginner to advanced full length follow along videos to make sure you re getting the most out of every workout proper exercise technique is key and we re here to teach you and keep you motivated programs amp challenges with weekly schedules that remove any guesswork if you re targeting weight loss strength endurance or simply want to get active there s a tone it up program for you build lean muscle with full body workouts and target specific areas with back exercises abs butt arm amp leg workouts join the fitness community over 1 million tiu members all keeping one another motivated to reach their fitness goals join programs together share your journey etc delicious amp easy healthy meals get started with hundreds of healthy amp satisfying recipes designed for your goals protein muffins post workout smoothies easy dinners for the entire family healthy desserts and so much more choose from hundreds of delicious meals including vegetarian vegan high protein and gluten free options oh and did we mention you ll sweat burn calories and feel amazing too the tiu fitness app is the best exercise apps for women we re all in this together and we can t wait to cheer you on.,3,3,3,3,14,"strength, 30, programs, workout, training, women, workouts, yoga, fitness, program"
BetterMe: Health Coaching,five reasons to install betterme 1 customized wholesome approach to weight loss and weight gain we adjust to your busy schedule preferences and lifestyle to achieve fast results without harming your health 2 workouts for any level 3 varied disciplines from cardio to yoga everyone can find something they like whether it s to get your blood pumping or wind down after a long day app provides you with calorie tracker know exactly how much you consume a day and monitor your macros all with an intuitive design yoga running and walking workouts for everyone there is no need to go to the gym over 800 of our workouts can be done at home with our vast library of exercises everyone will find something to float their boat from prenatal yoga to guided interval running get ready to meet your new favorite way to get in shape fast getting in shape has a lot to do with nutrition and we ve carefully hand picked hundreds of recipes for every taste cooking time and budget quickly find your new favorite keto breakfast vegan snack low calorie dinner and much more.,1,1,1,1,13,"fitness, workouts, workout, yoga, strength, home, amp, gym, app, programs"
Calisteniapp,calisteniapp is more than an app more than half a million people who use it say it start training calisthenics today there is content for all levels so you don t need to have practiced calisthenics or bodyweight training before access hundreds of workout routines for any level and muscle group completely free or create your own routines with the schedule maker training is good but learning is essential to do it correctly not sure how to exercise or what routine to train with the exercise dictionary educational articles and routine assistant you will learn everything you need.,22,22,22,22,15,"training, skills, thenics, one, arm, calisthenics, need, routines, muscle, free"
Lose Weight at Home in 30 Days,you can track your weight loss progress in graphs and clearly count your calories you can also set targets for self encouragement since exercise intensity increases step by step don t forget to take a break every three days so your body can adjust features no surprise and hidden charges track weight loss progress track burned calories hundreds of low calorie diets animations and video guidance various workouts gradually increases exercise intensity get unlimited access to all features for usd 9 99 month usd 59 99 year best weight loss apps workout at home take a few minutes a day to keep fit and lose weight with our workout at home no equipment needed just use your bodyweight to workout at home.,15,15,15,15,11,"workout, workouts, women, weight, fat, home, loss, lose, exercise, burning"
Six Pack in 30 Days,30 days of effective workout routines your personalized home trainer why spend a fortune on a personal trainer or waste time commuting to the gym six pack in 30 days becomes your personal trainer within the confines of your own home based on the principle of high intensity circuit training our workouts deliver results equivalent to those achieved in a gym setting animated demonstrations and video guides our program has been scientifically proven to strengthen all your abdominal muscles effectively through engaging animations and detailed video guides you can confidently execute each exercise with precision ensuring safety and maximizing the effectiveness of your workout exciting features sync your data with apple health for comprehensive fitness tracking includes many exercise programs home workout office workout and kickboxing workout no surprises or hidden charges complete transparency throughout benefit from structured 30 day workout routines specifically designed to sculpt six pack abs and cultivate a stronger physique achieve remarkable results with our training program focused on weight management and muscle building gradually increase exercise intensity to foster continuous progress and growth customize workout reminders to align with your schedule and preferences suitable for everyone including beginners professionals men women teenagers and seniors catering to diverse fitness levels and goals.,2,2,2,2,16,"workout, fat, workouts, home, belly, abs, exercise, get, weight, lose"
iFIT At-Home Workout & Fitness,interactive personal training the ifit app gives you access to thousands of guided at home workouts including hiit cardio abs strength training yoga and cycling all on your iphone or ipad use it with or without your ifit enabled equipment for a high energy workout experience features access thousands of at home workouts led by world class trainers choose from a variety of exercise classes and global workouts filmed all over the world including running walking cycling rowing strength training hiit bodyweight workouts yoga cardio treadmill abs global workouts virtually train and travel all over the world with global workouts from antarctica to bora bora you ll burn calories as your trainer coaches you through workouts in stunning locations enjoy learning information about each destination s history and culture while you sweat it out at home training work out with more than 100 personal trainers in the privacy and comfort of your own home with a variety of training styles and personalities you re sure to find the perfect fitness coach use with or without equipment you can use the ifit app with or without fitness equipment if you don t own equipment simply choose a workout and follow along at home if you do own equipment pair the app to your machine so your trainer can fully control your workouts world class trainers we ve hand selected more than 100 of the industry s best trainers including olympians professional athletes and biomechanics experts you ll feel guided motivated and challenged no matter your level of fitness immense fitness library you re never limited with the endless possibilities of ifit workouts choose from thousands of workouts whatever suits your mood and motivation real time stats stay on track by quickly viewing your metrics during any workout with our activity tracker you can also view your post workout summary as well as your entire workout history to measure your progress over time hands free interactive workouts connected apps users can link their ifit and apple health google fit strava and garmin connect accounts to synchronize activity history using the ifit app subject to change based on country.,18,18,18,18,6,"workouts, workout, app, fitness, equipment, home, training, ifit, time, choose"
Bodylura: Fitness & Nutrition,bodylura will get you results that last we are a strength training app for women with on demand workout classes 12 week guided workout programs and 20 different workout programs to choose from your first 7 days are free anna victoria on demand programs 30 day tone round 1 30 mins high intensity strength 30 day tone round 2 30 mins high intensity strength 30 day ignite 20 mins high intensity strength restore your core postpartum recovery 12 week programs fitstart 20 mins beginner program tone 30 mins high intensity strength shred 30 mins bodyweight training sculpt 45 60 mins gym training grow glow 30 min pregnancy safe strength training ignite 20 mins high intensity strength maggi gao on demand program 30 day blast 45 mins kettlebell training 12 week program blast 50 min kettlebell training alyssa lombardi on demand program 30 day run strong 25 35 min strength for runners 12 week program run strong 20 30 min strength for runners brittany lupton 12 week programs lift 60 mins lifting program revive 20 30 min postpartum strength nicci robinson 12 week programs strong 90 min bodybuilding program endurance 30 minute high intensity strength martina sergi 12 week programs move 30 45 min yoga flexibility rise 25 35 yoga strength bodylura app features step by step workouts on demand classes designed to get you results 20 programs that you can switch between any time workout sessions you can fit into your schedule alternative move suggestions as little as 20 30 minutes a day stretching and foam rolling videos for rehabilitation guided cardio workouts 7 eating preferences regular vegan vegetarian pescatarian gluten free dairy free and keto easy add features to enter your own macros from meals or ingredients barcode scanner for us and canadian food products workout calendar wellness journal track your mental and emotional well being in our wellness journal guidance and education 12 months 1 month.,3,3,3,3,14,"strength, 30, programs, workout, training, women, workouts, yoga, fitness, program"
Female Fitness - Fit at Home,still waiting for next summer to train your legs and butt start right now to feel the positive changes in your body after a few weeks be proud of yourself proper form during exercises is the most important aspect of sculpting toned legs and a tight butt usually the exercises need to target three major muscle groups butt thighs and leg muscles you can easily do it at home or anywhere at any time just 10 minutes each day it s more than just a private coach it offers animations and video guidance for each exercise by following our workout you will notice a change in the shape of your butt and legs been in just a few short weeks features on me page turn on the apple health switch to sync the information of your height weight calories to apple health no surprise and hidden charges different workouts every day increases exercise intensity step by step no need for equipment workout with your body weight track weight loss progress calculate burned calories animations and video guidance workout reminders the exercises are suitable for everyone both beginners and pros butt workout buttocks workout amp hips workout looking for efficient butt workout no suitable buttocks workout try our buttocks workout we prepared different hips workout for you and all of our hips workout is popular and professional a beautiful butt is within your reach with our hips workout our butt workout is your best choice get unlimited access to all features for usd 9 99 month usd 59 99 year nbsp.,19,19,19,19,17,"workout, workouts, sculpt, fitness, app, butt, body, equipment, class, society"
Home Workout - No Equipments,looking to build muscle and lose weight home workout has got you covered no equipment needed easy to follow at home with no equipment required you can work out anytime anywhere whether you re at home in the gym or outdoors so why wait time to get ready to transform your body today with home workout with home workout achieving your fitness goals has never been easier 1 start anytime amp anywhere no equipment needed and easy to follow whether at home in the gym or outdoors you can work out anytime anywhere with home workout 3 wide range of workouts everyone can find the workouts they want here whether you want to lose fat target specific muscles stretch your body or just get a good mood home workout has got you covered with a variety of targeted workouts get moving with home workout s highlight features 500 varied workouts a wide variety of exercises that cater to your every individual needs other can t miss features pro video guides work out effectively prevent injury and get inspired apple health integration seamlessly integrate your fitness data calories steps for better progress tracking clear data charts track weight and calorie trends for informed decisions customized reminders never miss a training session share with friends inspire and get inspired no hidden charges say goodbye to unexpected surprises get unlimited access to all features for usd 39 99 year.,0,0,0,0,2,"workouts, workout, home, amp, fitness, exercises, gym, progress, weight, apple"
Body Groove On Demand,body groove is the super fun dance workout that is designed for every body body groove workouts take easy dance moves and let you make them own adding your own style and personality and making every movement perfect for your body since each dance session is tailored just for you you ll get exactly the workout you need to feel great without beating up your body whether you re just starting to workout or an experienced dancer you ll get stronger leaner and more flexible every time you groove best of all you ll actually love to workout once you experience for yourself body groove s perfect balance of structure and personal creativity you ll never go back to traditional follow the leader exercise again here s just a sample of what you ll get as a body groove member the delicious dance workout collection the dance your heart out workout collection the young at heart workout collection the bootylicious workout collection the mindful movement workout collection the grooving mediation workout collection the discover your groove at home workshop.,11,11,11,11,1,"workout, workouts, fitness, get, dance, body, app, health, groove, collection"
